PTLDH3 (PATILADAHA 03)
DOLHL1 (DOLAHAL 01)
GORGN3 (GORAGAON)
SUSLM5 (SOUTH SALMARA 05)
PATGN2 (PATGAON)
SALBR1 (SALBARI(BRPT))
GHLGR1 (GHILAGURI)
LKHGNJ01 (LAKHIGANJ)
LHAJN1 (LOHAJANI)
TETBR1 (TITAGURI)
RKDU03 (RAKHALDUBI)
DOTM03 (DOTMA)
GOKIT4 (SREERAMPUR)
BLDMR1 (BALADMARI)
ASKASHPR01 (KASAPARA)
GRCTK1 (GARUCHATKA)
BIJNI9 (BIJNI)
SKRTR1 (CHANDMAMA)
KRPRA1 (KARIPARA)
DLGON1 (WEST DOLAGAON)
PHRSN1 (DUBAPARA)
BNBRI1 (MENDIPATHAR)
DIMGR1 (DAIMUGURI)
SPRGR1 (SUPERIGURI)
KOK002 (KOKRAJHAR 02)
CIRKW1 (CHIRAKHOWA(KALAPANI))
GOLP02 (GOALPARA 02)
MORNA1 (MORNAI)
KZPRA1 (KAZIPARA)
CHNGA1 (CHENGA)
CMRHL1 (SAMARTSALI)
TIPL01 (TIPLAY)
BAIDA1 (BAIDA PART-01)
ABHPY5 (ABHYAPURI)
PANBR1 (PANBARI)
TMRHT1 (TAMARHAT 01)
SAPTG1 (SAPATGRAM 01)
DOTM02 (DOTMA 02)
LRFRI1 (MEDHIRTARY)
TETBR3 (TITAGURI)
ASKTHLMR01 (KATHALMURIGHAT)
KAUHG2 (KOWAHAGI)
CHLTP1 (CHALANTAPARA)
TMRHT3 (TAMARHAT 03)
RNIGL1 (JIAGURI)
MATIA1 (MATIYA)
AGMNI5 (AGOMONI)
ASHTIJNA01 (JOSHIHATIPARA)
KTLBR1 (KATHALBARI)
PTKTA2 (PATAKATA)
JLSWR2 (JALESWAR)
JLSWR5 (JALESWAR)
FKMR02 (FEKAMARI 02)
KHABN1 (KHOWRA BANDHA)
STSIK3 (SATSHIA)
STSIK2 (SATSHIA)
PKRGR1 (KOKRAJHAR)
JLSWR3 (JALESWAR)
KCHDA1 (KUSHDHOWA)
GAYBR1 (GAYABARI)
FKRGJ2 (FAKIRGANJ)
PTIMR1 (DHEPDHEPA)
MKRJR2 (DALANER ALGA)
MDGHT1 (MEDHAGHAT)
GHORA1 (GHORAMARA)
KMDGA1 (KAMANDANGA)
SPKAT1 (SAPKATA)
KOK015 (KOKRAJHAR 15)
JNTBZ1 (JANTABAZAR)
GOKIT2 (GOKULHATA)
MTIPR1 (MOTIPUR)
GTHP01 (DHANUBHANGA)
BON028 (BONGAIGAON)
BOPTR2 (NO.3 CHOURANG)
HRPTA1 (HARAPUTA)
HTSG03 (HATSINGHIMARI)
DOTM10 (DOTMA10)
PCHAG1 (DHANTALA)
BOGPR1 (BHOGPUR)
ASGORMRI01 (GORAIMARI)
ASNIMUA01 (NIMUA)
BON018 (BONGAIGAON)
JHDNG1 (JAUDANGA)
PATGN5 (PATGAON)
JYGRI1 (JIYAGURI)
ASGOL011 (GOALPARA)
SAPTG4 (SAPATGRAM 04)
RNGPN2 (RANGAPANI)
RMPUR1 (RAMPUR)
RNSAI1 (Rangsai)
PKHMP1 (KHAMARPARA)
ASJHAPSB01 (JHAPSABARI)
TRKND1 (JOYPUR)
PATGN6 (PATGAON)
BGDBA1 (BAGDUBA)
KYKCH1 (KOYAKUCHI)
SIMAL1 (SIMLABARI)
ASHOWLI004 (HOWLY)
KOK007 (KOKRAJHAR 07)
DOTM08 (DOTMA)
CGLIA2 (Choto Pokalagi)
BAMUN1 (Bamun Panikhowa)
MORNI2 (KARLINGPUR)
PKTBR1 (Pakabethbari)
GOUR01 (GAURIPUR)
ARKTA1 (Airkata)
CGLIA1 (CHAGALIA)
AMGRI1 (AMGURI)
GOUR04 (GAURIPUR)
HEKRA1 (HEKRA)
ASBALVTA01 (Balabhitha)
ASBONMJA01 (Banmaja Pathar)
KHRDG1 (Khardang)
MIPRA1 (Miapara)
ASSNTBRI001 (Gelepara)
LALMT1 (LALMATI)
KHPBZ2 (KHOPATIBAZAR-02)
BWRBP1 (BHOURAGURI)
KRSH02 (KRISHNAI 02)
BWRBP2 (BHOURAGURI)
KALPN2 (KALAPANI)
BSRPM1 (BECHIMARIPUMP)
KNURI1 (GOLAKGANJ)
DBOTR1 (KACHARIHAT)
ASKAIMRI03 (Kaimari 3)
AMTKA1 (AMTEKA F.V)
BAR010 (BARPETA)
HRBNA2 (HARABHANGA)
JAGP03 (JOGHIGHOPA)
AKAYA2 (AKAYA)
BGHBR1 (BAGHBAR)
BROBG1 (BARBARIGAON)
ASKOKRA013R (KOKRAJHAR)
PRAP01 (Ramendrapur)
BJPRA1 (Pub-Kathalmuri)
BON065 (City Dhaba)
"BON019 (Borpara, Ward No. 4)"
GROBZ1 (GOALPARA)
BARRBSC  (BARRBSC DG-A)
KOKBB (KOKRAJHAR RBSC)
DHU011 (DHUBRI RBSC DG A)
GOLP07 (GOALPARA 07)
JIRA01 (JIRA)
DHU011 (DHUBRI RBSC DG B)
DHU011 (DHUBRI RBSC DG C)
KHOGP1 (KHAGARPUR 01-C)
BARRBSC (BARRBSC DG-B)
KLIPR1 (KALIPUKHURI)
SUSLM1 (SOUTH SALMARA 01)
SUSLM1 (SOUTH SALMARA 01)
GOLP07 (GOALPARA 07)
SUSLM2 (SOUTH SALMARA 02 DG-B)
JIRA01 (JIRA-01)
KHOGP1 (KHAGARPUR)
SUSLM2 (SOUTH SALMARA 02 DG-A)
KOKBB (KOKRAJHAR RBSC)
KOKBB (KOKRAJHAR RBSC)
BLIKR1 (BALIKURI)
KHNGR1 (KHONGRA)
SESPN1 (SESAPANI)
GDPRA1 (GANDHARIPARA)
DHULA1 (DHULA)
HOW010 (HAZIPARA)
PATS11 (Titka Gouria)
ANHLI1 (ANCHALI)
"DIMAL1 (Titaguri Part-2,)"
KLBAR1 (BAIRAPUR)
KHBPR1 (AOHATA)
MYNPR1 (MAYANGPARA)
SIPNBB (SIPONSILA)
BETBR1 (BEDLANGKHAITI)
ASKMPLRA01 (KUMALIYAPARA)
CHUTR1 (CHAUTARA)
BIJN16 (BIJNI)
"ALUPT1 (Kalairdia, Mouza- Bagbhar)"
KALUG1 (Kalugaon (Aithugaon))
"SALA04 (Henobill, NTPC Road)"
"HTLGN1 (Simlaguri,)"
BLRCH2 (BALARCHAR)
BKTRI1 (BOKRERTARI)
JMDAH1 (MONAKOSA)
KHTRI1 (Khatatari)
NIKSI1 (Nikashi)
SITLI1 (Dakhin Sitali)
KKRGN1 (KAKRAGAON)
NARVT1 ()
PLITL1 (Pallirtal Chedamari )
FATIG1 (FATIG GRAH)
