Product Code,Product Name,Variant,Expected,Counted
000704385R1,CIRCLIP (INTERNAL LUG 72 X 2.6mm),,0,
000704385R1-PB,CIRCLIP INT - LUG 72 X 2.5,,0,
000704436R1,STARTER RING 843,,0,
000704436R1-PB,RINGGEAR FLYWHEEL,,0,
000704613R1,GASKET EXHAUST PIPE,,0,
000704613R1-PB,GASKET EXHAUST PIPE,,0,
000705252R3,SPRING CLUTCH PEDAL,,0,
000706072R1,WASHER (G 6.35 mm SPRING LOCK),,0,
000706732R1,BOLT (G7.9375X1.41X28.57X10.9mm),,0,
000707321R91,SEAL GOVERNOR,,0,
000707888R92,VALVE RADIATOR DRAIN,,0,
000708114R3,CABLE CLIP,,0,
000708117R2,CLIP CABLE,,0,
000708289R3,GASKET PUMP,,0,
000708291R1,PIN DOWELL,,0,
000708291R1-PB,PIN DOWELL,,0,
000708907R1,GASKET ( CRANKSHAFT OIL SEAL RETAINER),,0,
000708907R1-PB,GASKET RETAINER CR OIL SEAL,,0,
000709517R1,BOLT (G11.1125X1.27X28.575X10.9),,0,
000709517R1-PB,BOLT HEX G11.1125X1.27X28.575X10.9,,0,
0007461930-LOM,FUEL PIPING,,0,
0007462180-LOM,FUEL PIPE LOM,,0,
0007462190-LOM,FUEL PIPING ALT TO 0007462180-LOM,,0,
000932204R1,ROLL PIN 3 MM(XP-232),,0,
000934309R1,WASHER SPRING (M8X15X2mm),,0,
000934871R1,NUT HEXAGONAL (M5X0.8X3.65XIH 5mm),,0,
0010116580-LOM,CAM SHAFT HYDR.TPT 15ld400,,0,
0010512080-LOM,CRANKSHAFT,,0,
0010512290-LOM,CRANKSHAFT ASSY.,,0,
0010514220-LOM,CRANKSHAFT LOMBARDINI,,0,
0010514330-LOM,CRANK SHAFT WITH GEAR,,0,
001081618R1,WASHER COPPER,,0,
001081618R1-PB,COPPER WASHER,,0,
001081648R1,CIRCLIP INT - LUG 72 X 2.5,,0,
001081682R1,NUT NYLOC (G11.11X1.81X11.08X9mm),,0,
001081682R1-PB,NUT NYLOC G11.11X1.81X11.08X8,,0,
001081721R2,WASHER SEAL CU G14.50X17.91X1.85,,0,
001081723R1,BOLT BANJO (M10X1.0X19.4mm),,0,
001081723R1-PB,BOLT BANJO M10X1.0X19.3,,0,
001081724R1,WASHER,,0,
001081724R2,WASHER COPPER (0.413X 0.528 ),,0,
001081724R2-PB,WASHER COPPER 0.413 * 0.528 *,,0,
001081727R2,BOLT BANJO (M8X1.0X17.01mm),,0,
001081727R2-PB,BOLT BANJO M8X1.0X17.00,,0,
001081728R2,WASHER COPPER BANJO BOLT FUEL PIPE,,0,
001081753R1,GASKET  OIL FILTER,,0,
001081753R2,GASKET (OIL FILTER),,0,
001081753R2-PB,GASKET OIL FILTER,,0,
001081778R93,ELEMENT FILTER,,0,
001081778R93-PB,FILTER ELEMENT (COIL TYPE)-945,,0,
001081867R1,CLAMP PLATE TOP,,0,
001081868R1,PAD FELT,,0,
001082010R2,WASHER SPRING LOCK(G 6.35mm),,0,
001082011R2,WASHER SPRING LOCK,,0,
001082011R2-PB,"WASHER  5/16"" SPRING LOCK",,0,
001082012R2,WASHER SPRING LOCK (G 9.525mm),,0,
001082012R2-PB,WASHER G 9.525 MM  SPRING LOCK,,0,
001082014R2,WASHER SPRING LOCK (G 12.7mm),,0,
001082015R2,WASHER SPRING LOCK (G 15.875mm),,0,
001082037R1,SPRING RELIEF VALVE    HE 6362,,0,
001082037R1-PB,SPRING RELIEF VALVE    HE 6362,,0,
001082043R1,COVER OIL PUMP         HE 6357,,0,
001082183R91,BEARING BALL (20X47X15mm),,0,
001082185R2,WASHER BULL PINION BEARING,,0,
001082185R2-PB,WASHER BULL PINION BEARING CAG,,0,
001082293R95,ASSY. FILTER FUEL TWIN (F002H20105) 0.5L,,0,
001082293R96,ASSY. FILTER  FUEL 9 451 030 117(0.7 L),,0,
001082408R91,SET BEARING CON ROD 0.254MM  -BIM,,0,
001082438R91,MICO FLTR ELEMNT(USE 001081778R93),,0,
001082448R92,ELEMENT FUEL FILTER,,0,
001082448R92-PB,ELEMENT F. FILTER (PRIM),,0,
001099207R91,BRG BALL,,0,
001099224R91,CLUTCH COVER ASSEMBLY,,0,
001099281R91,SET BEARING CR'SFT 0.762MM U/S,,0,
001099285R91,BEARING CONNECTING ROD SET,,0,
001099285R91-PB,SET BEARING CON ROD-STD-BIMETL,,0,
001099286R1,BEARING (CONNECTING ROD BIMETL),,0,
001099286R1-PB,BEARING CONN ROD - STD-BIMETL,,0,
001099287R91,SET BEARING CON ROD 0.381MM -B,,0,
001099289R91,SET BEARING CON ROD 0.762MM -B,,0,
001099443R2,SLEEVE CYLINDER -444- I.PISTON,,0,
001099817R1,WASHER PLAIN (G16.662X33.325X6.351mm),,0,
001099900R1,PLUG MAGNETIC DRAIN,,0,
001099900R2,PLUG (MAGNETIC DRAIN),,0,
001099900R2-PB,PLUG MAGNETIC DRAIN,,0,
0011112250-LOM,OIL PUMP SHAFT,,0,
0011112670-LOM,EQUALIZER SHAFT,,0,
001121039R1,VALVE RELIEF (PLUNGER) IRP 158,,0,
001121039R1-PB,VALVE RELIEF (PLUNGER) IRP 158,,0,
001121094R91,PUMP HYDRAULIC,,0,
001121205R91,ELEMENT AIR CLEANER,,0,
001121205R91-PB,ELEMENT AIR CLEANER,,0,
001121206R91,BOWL CPT AIRCLEANER,,0,
001121206R91-PB,BOWL CPT AIRCLEANER,,0,
001121231R3,SPACER,,0,
001121233R1,TIFFENER VALVE HOUSING COVER,,0,
001121233R1-PB,TIFFENER VALVE HOUSING COVER,,0,
001121234R1,WASHER RUBBER VHC,,0,
001121234R2,WASHER RUBBER,,0,
001121234R2-PB,WASHER RUBBER,,0,
001121799R1,PLAIN WASHER (FOR AUSL00076),,0,
001127058R93,MANIFOLD EXH. W/STUB PIPE ASSY,,0,
001127058R94,MANIFOLD EXHAUST WITH STUB PIPE (4DI),,0,
001127607R1,GASKET (HYD PUMP),,0,
001127607R1-PB,GASKET HYD PUMP( DUMMY VTU +GEN,,0,
001127613R1,RIVET POP,,0,
001127750R93,PUMP CPT LUB OIL,,0,
001127750R94,ASSY.PUMP CPT LUB OIL,,0,
001127750R95,OIL PUMP ASSEMBLY,,0,
001127750R95-PB,OIL PUMP ASSEMBLY,,0,
001127951R94,BATTERY RETAINER,,0,
001127966R1,PAD RUBBER,,0,
001127966R1-PB,PAD RUBBER,,0,
0011600650-LOM,PISTON PIN CIRCLIP,,0,
0012000350-LOM,O-RING D11.22/7.66 1.78 THK,,0,
0012000410-LOM,O-RING D8.04/4.48 1.78 THK,,0,
0012000820-LOM,O-RING D31.89/26.50 2.62 THK,,0,
0012000870-LOM,OR 3150,,0,
0012002340-LOM,O-RING D57.26/53.70 1.78 THK,,0,
0012003360-LOM,O-RING D39.84/34.6 2.62 THK,,0,
0012133900-LOM,OIL SEAL D50/30 7 THK,,0,
0012133960-LOM,OIL SEAL D55/40 7 THK,,0,
0012135760-LOM,OIL SEAL 40X55X7,,0,
001230010R2,BOLT BANJO (M14X1.5X26.31mm),,0,
001231237R91,CLAMP AIR CLEANER,,0,
001231237R91-PB,CLAMP AIR CLEANER,,0,
001231247R1,BUSH CAMSHAFT REAR,,0,
001231287R2,RUBBER GROMMET,,0,
001231288R2,BUSH (9.900X14.00X10.01mm),,0,
001231297R1,O' RING CYLINDER SLEEVE,,0,
001231297R2,O RING (96.60X3.53mm),,0,
001231297R2-PB,O RING 96.60X3.53 NBR,,0,
001231331R91,OIL SEAL,,0,
001231331R91-PB,OIL SEAL 2L 47.63X73.28X12.70,,0,
001231400R13,PIPE EXHAUST MANIFOLD,,0,
001231551R1,RETAINER CRANKSHAFT REAR OIL SEAL,,0,
001231551R1-PB,RETAINER CRANKSHAFT RER O/SEAL,,0,
001231552R91,OIL SEAL 2L 90.45X111.38X12.95,,0,
001231780R2,BOLT (G11.1125 X 1.81 X 69.8mm),,0,
001231780R2-PB,BOLT RD HD SQUARE G11.1125 X 1.81 X 69.8,,0,
001231899R1,BOLT HEX (M10X1.5X60X8.8mm),,0,
001231958R1,BOLT CONTG ROD     34 026 03 0,,0,
001232205R1,WASHER 31137221,,0,
001232552R3,SPACER HAND BRAKE MOUNTING LONG,,0,
001232552R3-PB,SPACER HAND BRAKE MOUNTING LNG,,0,
001232681R1,GASKET GEAR CEASING (255),,0,
001232759R1,WATER OUTLET MANIFOLD,,0,
001232850R1,ROLL PIN  (4.9mmX15.9mm),,0,
001232932R1,BOLT BANJO (M14X1.5X27mm),,0,
001232932R1-PB,BOLT BANJO M14X1.5X26,,0,
001232985R1,BRACKET 10530289,,0,
001233066R92,FUEL TAP (ARJUN),,0,
001233066R93,FUEL TAP (WITHOUT FILTER),,0,
001233313R1,CLIP LUB OIL PIPE,,0,
001233523R1,BEARING CRANK SHAFT MAIN REAR,,0,
001233525R91,ELEMENT FUEL FILTER PRIM-ELOFI,,0,
001233526R1,ELEMENT FL FLTR SECONDARY,,0,
001233544R91,MOTOR STARTER (2.2KW),,0,
001233544R91-PB,MOTOR STARTER-LUCAS TVS 6M14,,0,
001233545R1,GASKET THERMOSTAT HOUSING,,0,
001233545R1-PB,GASKET THERMOSTAT HOUSING,,0,
001233546R1,GASKET WATER PUMP,,0,
001233546R1-PB,GASKET WATER PUMP,,0,
001233555R1,GASKET CR'CASE OIL SEAL RETNR,,0,
001233676R1,GASKET             02 024 21 0,,0,
001233807R1,NUT (HEX M6 X 1.0 X 5 X 6.6mm),,0,
001233808R1,WASHER SPRING LOCK (M6X11.6X1.6mm),,0,
0012400020-LOM,EXT. CIRCLIP D8/7.6 0.8 THK,,0,
0012400040-LOM,EXT. CIRCLIP D10/9.6 1.0 THK,,0,
0012400170-LOM,INT CIRCLIP D20/21.5 1.0 THK,,0,
0013012450-LOM,PL. WASHER D28/16 0.5 THK C67,,0,
0013013540-LOM,PL.WASHER D29.8/18 0.5 THK C67,,0,
0014004200-LOM,ASTA LIVELLO/DIPSTICK D,,0,
0014101650-LOM,PUSHROD    D,,0,
0014602540-LOM,TOOL KIT,,0,
0015111220-LOM,CRANKCASE ASSY,,0,
0015262820-LOM,COMPLETE CONNECTING ROD,,0,
0015263020-LOM,COMPLETE CONNECTING ROD,,0,
0015412580-LOM,ROCKER ARM,,0,
0015852150-LOM,BUSH D12/8 52 LONG SPECIAL,,0,
0016112020-LOM,CRANKSHAFT BEARING 15LD400,,0,
0016112090-LOM,BUSH B.CRSHAFT STD SPARE 15LD,,0,
0016112100-LOM,BUSH.B.CRSHFT-0.25mm15LD400,,0,
0016112110-LOM,BUSH B.CRSHFT-0.50mm15LD400,,0,
0016112120-LOM,BUSH B.CRSHFT-1.0mm15LD400/440,,0,
0016401220-LOM,LE BEARING SET,,0,
0016401230-LOM,HALF BEAR.-0.25mm KIT 15LD400,,0,
0016401240-LOM,HALF BEAR.-0.50mm KIT 15LD400,,0,
0016401520-LOM,HALF BEARING SET (MODIFIED),,0,
